,wokType,holeType,holeID,hexRow,hexCol,x,y,z,r,theta,ix,iy,iz,jx,jy,jz,kx,ky,kz
0,LCO,ApogeeBoss,R-13C0,-13.0,0.0,-148.022536607116,-256.38323185278,5.0057852848026,296.0456601926151,240.00006558813322,-4.070058241251707e-05,-0.9995694949671099,0.029339786547611654,0.9998565662664072,-0.0005375906987430749,-0.016928020858626144,0.01693650605680074,0.02933488925217628,0.9994261448627159
1,APO,ApogeeBoss,R-13C0,-13.0,0.0,-147.873835485164,-256.12430864697996,4.681881866926201,295.74707555779275,239.99993340223332,6.647446732018013e-06,-0.9996226137408866,0.02747053064011824,0.9998742510601972,-0.00042898864678961546,-0.01585238264584779,0.01585818472022894,0.02746718162788364,0.9994969094053268
2,LCO,ApogeeBoss,R-13C1,-13.0,1.0,-125.247769462558,-256.37770138378,4.650079535102999,285.33581885591707,243.9631805767016,4.465338090751487e-06,-0.9995727116230001,0.029230021531015546,0.9998980608593651,-0.00041289001345713483,-0.014272260210577238,0.01427823062365903,0.02922710557820709,0.9994708141960814
3,APO,ApogeeBoss,R-13C1,-13.0,1.0,-125.12127173181001,-256.1187643553,4.3494642428372,285.0476347817521,243.9631805148448,4.466208196697327e-06,-0.9996254154004868,0.027368391722148507,0.9999106304751035,-0.00036142479543567935,-0.013364147372650464,0.013369032984238628,0.027366005509047664,0.9995360777378399
4,LCO,ApogeeBoss,R-13C2,-13.0,2.0,-102.48172134602801,-256.39322064661997,4.3543553233268,276.1158937902548,248.21314959307006,9.325220265202651e-06,-0.9995713076250383,0.029277993199868846,0.9999315317967273,-0.0003332840215180908,-0.011697035539479171,0.011701778996849368,0.02927609766571187,0.9995028656656151
5,APO,ApogeeBoss,R-13C2,-13.0,2.0,-102.37761243283397,-256.13275573194,4.0728272828788,275.8353930993722,248.21314953796173,9.321809512675552e-06,-0.9996241895416966,0.02741312817265065,0.9999399754306065,-0.0002910348883169331,-0.010952663353348862,0.010956525404610541,0.02741158481007779,0.9995641848171922
6,LCO,ApogeeBoss,R-13C3,-13.0,3.0,-79.71241988167401,-256.40749722207994,4.117777440044598,268.51233587133987,252.73048240167014,7.140915495834078e-06,-0.99956981441318,0.029328928773622597,0.9999584351972431,-0.00026026738601630736,-0.009113733525228868,0.009117446292050765,0.029327774802884007,0.9995282656324548
7,APO,ApogeeBoss,R-13C3,-13.0,3.0,-79.63104112037799,-256.14572894196,3.8513326026026,268.23820974112425,252.7304823550973,7.140218952876155e-06,-0.9996228791657092,0.027460870297120413,0.9999635610971086,-0.00022728984342543747,-0.008533745796314541,0.008536769119890366,0.027459930585947815,0.999586452381788
8,LCO,ApogeeBoss,R-13C4,-13.0,4.0,-56.937821462204,-256.40932852144,3.940033853622399,262.6550194945407,257.4801422765799,4.9569211999395114e-06,-0.9995705047060042,0.02930539365395364,0.9999788269108377,-0.00018574599447646444,-0.006504708175685807,0.00650735779362331,0.02930480541156672,0.9995493397898556
9,APO,ApogeeBoss,R-13C4,-13.0,4.0,-56.879598028993996,-256.14712890868,3.6849802231922,262.38643318605455,257.48014224056055,4.9589025633909e-06,-0.9996234837922432,0.02743885249911568,0.9999814380869292,-0.0001622253008389603,-0.006090744170367365,0.006092902182571265,0.027438373384927703,0.999604928063574
10,LCO,ApogeeBoss,R-13C5,-13.0,5.0,-34.162597015791995,-256.40817015697996,3.8214639659214,258.6739893342858,262.4108804175214,9.816896237395517e-06,-0.9995714385724472,0.029273522060675457,0.9999923940313112,-0.00010436081360018535,-0.0038988444887073795,0.003900228602926688,0.029273337681735054,0.9995638348388841
11,APO,ApogeeBoss,R-13C5,-13.0,5.0,-34.12764298537,-256.14582104236,3.5740757810442,258.40932191622187,262.41088039343515,9.814300554086045e-06,-0.9996243031546721,0.027408984771709773,0.9999933320632467,-9.0281918480509e-05,-0.003650709276352905,0.003651812252123363,0.027408837839490913,0.9996176368369876
